analysis	date	status	evidence	result
HELIOS cognition validation Phase 1	2026-09-17	Completed	Exact PCA reproduction, task summaries and 1000 bootstrap replicates	Historical score reproduced; speed-heavy loading structure stable
HELIOS 12k and combined 22k validation	2026-09-17	Completed	Exact residual and PCA reproduction, raw task summaries, 1000 bootstrap replicates and archived GWAS, METAL and LDSC records	N=13774 archived 12k; N=22422 combined PCA; N=21518 GWAS; no genome-wide significant variant in the matching trans-ancestry meta-analysis
10k six-task cognitive PCA	2025	Reproduced	Historical script, input extracts and saved score	N=7403; PC1 explained 34.489% of variance
10k ancestry-specific genotype QC	2025	Documented	Historical PLINK commands and retained Chinese, Indian and Malay prefixes	Portable QC script with the recovered thresholds
10k Chinese, Indian and Malay REGENIE Step 2	2025-09 to 2025-10	Completed	REGENIE v4.1 ancestry-specific logs	Completed ancestry-specific association tests for the recovered 10k phenotype iterations
10k trans-ancestry cognitive meta-analysis	2025-09	Validated	Two retained METAL outputs	6686830-row later iteration, maximum N=7789; 6688950-row earlier iteration, maximum N=7664
10k Chinese REGENIE Step 1	2025-11-28	Completed	REGENIE v4.1 log	5700 participants; 279546 LD-pruned variants; produced CHI_10k_step1_pred.list
10k Chinese REGENIE Step 2	2025-11-28	Completed	REGENIE v4.1 log	5700 participants entered the run; 7043723 variants in the genotype input
10k Chinese summary-statistic freeze	2025-12-12	Validated	EC2 final file and downstream file fingerprints	5615100 build-37 rows; modal variant N=5592
SG100K covariate-adjusted LD scores	2025-06-26 to 2025-06-28	Completed	cov-LDSC v1.0.0 chromosome logs	Chromosomes 1-22; 37364 individuals; 20 cM windows
10k HELIOS and EAS education MTAG	2025-12-02	Exploratory	MTAG v1.0.8 log	3403649 shared variants
